npy_filepath,label,original_size,new_size,original_file_path,split
"train/1217322-39328-15772-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(187, 224)","(187, 224)","1.training/1217322-39328-15772-[1, 1, 0].png",train
"train/1005919-20897-46600-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(279, 156)","(279, 156)","1.training/1005919-20897-46600-[1, 1, 0].png",train
"train/1203706-27822-45517-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(219, 207)","(219, 207)","1.training/1203706-27822-45517-[1, 1, 0].png",train
"train/446242-21142-26915-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(299, 168)","(299, 168)","1.training/446242-21142-26915-[0, 1, 0].png",train
"train/1004276-22936-20593-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(169, 225)","(169, 225)","1.training/1004276-22936-20593-[1, 1, 0].png",train
"train/1004470-29697-27583-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(287, 254)","(287, 254)","1.training/1004470-29697-27583-[1, 1, 0].png",train
"train/1022068-29661-53421-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(164, 156)","(164, 156)","1.training/1022068-29661-53421-[1, 0, 0].png",train
"train/1115849-29551-20585-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(151, 276)","(151, 276)","1.training/1115849-29551-20585-[1, 0, 0].png",train
"train/447079-18384-20050-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(198, 282)","(198, 282)","1.training/447079-18384-20050-[1, 1, 0].png",train
"train/1205260-24402-10935-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(273, 295)","(273, 295)","1.training/1205260-24402-10935-[1, 1, 0].png",train
"train/449636-30442-6858-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(153, 267)","(153, 267)","1.training/449636-30442-6858-[0, 0, 1].png",train
"train/TCGA-49-4512-01Z-00-DX1-80374-63886-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(254, 221)","(254, 221)","1.training/TCGA-49-4512-01Z-00-DX1-80374-63886-[1, 1, 0].png",train
"train/1203706-17192-30317-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(290, 290)","(290, 290)","1.training/1203706-17192-30317-[1, 0, 0].png",train
"train/1115189-4730-46090-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(226, 297)","(226, 297)","1.training/1115189-4730-46090-[1, 1, 0].png",train
"train/449636-26186-11070-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(219, 250)","(219, 250)","1.training/449636-26186-11070-[0, 0, 1].png",train
"train/444302-15601-26805-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(192, 219)","(192, 219)","1.training/444302-15601-26805-[1, 1, 0].png",train
"train/1209559-21604-26335-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(298, 282)","(298, 282)","1.training/1209559-21604-26335-[1, 1, 0].png",train
"train/1138508-9522-19561-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(214, 173)","(214, 173)","1.training/1138508-9522-19561-[1, 1, 0].png",train
"train/446242-6501-20492-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(203, 207)","(203, 207)","1.training/446242-6501-20492-[1, 1, 0].png",train
"train/449636-29910-8730-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(166, 209)","(166, 209)","1.training/449636-29910-8730-[0, 0, 1].png",train
"train/1023348-26744-44497-[0, 1, 0].npy",tumor:False|stroma:True|normal:False,"(215, 165)","(215, 165)","1.training/1023348-26744-44497-[0, 1, 0].png",train
"train/TCGA-97-8175-01Z-00-DX1-95322-49453-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(236, 188)","(236, 188)","1.training/TCGA-97-8175-01Z-00-DX1-95322-49453-[1, 1, 0].png",train
"train/1031280-29468-17262-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(290, 272)","(290, 272)","1.training/1031280-29468-17262-[1, 1, 0].png",train
"train/449636-22994-10134-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(229, 286)","(229, 286)","1.training/449636-22994-10134-[0, 0, 1].png",train
"train/1224965-37389-49921-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(235, 238)","(235, 238)","1.training/1224965-37389-49921-[1, 1, 0].png",train
"train/447079-26636-60108-[0, 0, 1].npy",tumor:False|stroma:False|normal:True,"(298, 236)","(298, 236)","1.training/447079-26636-60108-[0, 0, 1].png",train
"train/1203706-42704-58817-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(213, 222)","(213, 222)","1.training/1203706-42704-58817-[1, 1, 0].png",train
"train/1121662-21539-29878-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(153, 199)","(153, 199)","1.training/1121662-21539-29878-[1, 1, 0].png",train
"train/1009800-28656-10967-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(220, 239)","(220, 239)","1.training/1009800-28656-10967-[1, 1, 0].png",train
"train/440930-42061-19072-[1, 0, 0].npy",tumor:True|stroma:False|normal:False,"(262, 150)","(262, 150)","1.training/440930-42061-19072-[1, 0, 0].png",train
"train/1221636-6449-36336-[1, 1, 0].npy",tumor:True|stroma:True|normal:False,"(189, 214)","(189, 214)","1.training/1221636-6449-36336-[1, 1, 0].png",train
